date_str,degrees_from_mean,id,lon,lat,max_temp,min_temp,station_name,type,serialid,year,month,day,year_month,state
1975-10-08,26.55,USC00215638,-95.8747,45.5903,28.9,12.8,MORRIS WC EXP STN,Strong Hot,883357,1975,10,8,1975.1,Minnesota
2012-03-21,43.67,USC00200089,-88.4811,46.6447,26.7,10.0,ALBERTA FORD FOR CTR,Strong Hot,1533833,2012,3,21,2012.03,Michigan
1981-04-27,27.36,USC00054413,-102.2706,40.9867,32.2,14.4,JULESBURG,Strong Hot,251356,1981,4,27,1981.04,Colorado
1990-12-09,28.61,USC00328737,-102.9181,48.3989,8.9,-2.8,TIOGA 1E,Strong Hot,3131888,1990,12,9,1990.12,North Dakota
1989-07-18,11.07,USC00415658,-100.825,34.0044,41.1,26.1,MATADOR,Strong Hot,2045361,1989,7,18,1989.07,Texas
2004-03-23,21.21,USC00267369,-114.9217,35.4661,28.9,16.1,SEARCHLIGHT,Strong Hot,942779,2004,3,23,2004.03,Nevada
1981-03-18,20.11,USW00026410,-145.4511,60.4889,13.9,4.4,CORDOVA M K SMITH AP,Strong Hot,258334,1981,3,18,1981.03,Alaska
1987-08-03,12.37,USC00116446,-88.0817,38.7003,36.7,23.9,OLNEY 2S,Strong Hot,1777286,1987,8,3,1987.08,Illinois
1994-06-14,17.33,USC00057515,-102.5167,40.8592,38.9,18.9,SEDGWICK 5 S,Strong Hot,671561,1994,6,14,1994.06,Colorado
1980-10-02,17.55,USC00426534,-112.6389,37.2722,30.0,11.1,ORDERVILLE,Strong Hot,2491191,1980,10,2,1980.1,Utah
1999-11-08,27.68,USC00241102,-108.9092,45.3261,22.2,8.9,BRIDGER 2 N,Strong Hot,2923518,1999,11,8,1999.11,Montana
1980-10-03,18.8,USC00042598,-115.4508,33.8089,42.2,25.0,EAGLE MTN,Strong Hot,2490789,1980,10,3,1980.1,California
1980-06-26,12.21,USC00034562,-92.8364,34.3947,37.8,24.4,MALVERN,Strong Hot,2482804,1980,6,26,1980.06,Arkansas
1974-05-16,21.18,USC00343358,-99.1128,36.7647,36.7,23.9,FREEDOM,Strong Hot,205695,1974,5,16,1974.05,Oklahoma
